mn_type,mn_id,thorax,side,nerve_base,segment_hint,group,Target,joint,dof,action,gain,bias,sign,actuator_name,instance,type,systematicType,name,cellType,class,actuator_hint_note,actuator_name_autofill_score,muscle_group
MNad03_AbN4_R,16560,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad03_AbN4_R,MNad03,MNad03,,,motor neuron,no Target,4,extensor
MNad03_AbN4_R,18060,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad03_AbN4_R,MNad03,MNad03,,,motor neuron,no Target,4,extensor
MNad03_AbN4_R,27988,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad03_AbN4_R,MNad03,MNad03,,,motor neuron,no Target,4,extensor
MNad04_AbNT_R,16501,,right,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad04_AbNT_R,MNad04,MNad04,,,motor neuron,no Target,4,extensor
MNad04_AbNT_R,152119,,right,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad04_AbNT_R,MNad04,MNad04,,,motor neuron,no Target,4,extensor
MNad05_AbN4_R,14902,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad05_AbN4_R,MNad05,MNad05,,,motor neuron,no Target,4,extensor
MNad05_AbN4_R,16227,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad05_AbN4_R,MNad05,MNad05,,,motor neuron,no Target,4,extensor
MNad05_AbN4_R,16330,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad05_AbN4_R,MNad05,MNad05,,,motor neuron,no Target,4,extensor
MNad06_AbN3_R,14211,,right,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad06_AbN3_R,MNad06,MNad06,,,motor neuron,no Target,4,extensor
MNad06_AbN4_R,15059,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad06_AbN4_R,MNad06,MNad06,,,motor neuron,no Target,4,extensor
MNad06_AbN4_R,18674,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad06_AbN4_R,MNad06,MNad06,,,motor neuron,no Target,4,extensor
MNad06_AbN4_R,101706,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad06_AbN4_R,MNad06,MNad06,,,motor neuron,no Target,4,extensor
MNad07_AbN4_R,14288,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad07_AbN4_R,MNad07,MNad07,,,motor neuron,no Target,4,extensor
MNad07_AbN4_R,22139,,right,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad07_AbN4_R,MNad07,MNad07,,,motor neuron,no Target,4,extensor
