x,y,z,type
19026,28214,39185,post
19243,28349,39462,post
19204,28307,39431,post
19219,28322,39431,post
19164,28285,39474,post
18750,28069,39299,post
18671,28053,39304,post
18688,27998,39357,post
18644,28037,39318,post
18605,28016,39339,post
18578,28004,39309,post
20191,29110,40159,post
20177,29099,40132,post
18652,28046,39282,post
18589,28006,39274,post
20254,29178,40104,post
20223,29167,40104,post
20251,29112,40079,post
20212,29098,40049,post
20308,29023,40048,post
20291,29006,40035,post
20265,29016,40030,post
20240,29031,40021,post
20099,29040,40015,post
20059,29015,39994,post
20234,29004,40021,post
20094,28988,40003,post
20052,28964,39992,post
20034,28981,39979,post
19984,28950,39960,post
18438,27890,39396,post
18524,27831,39384,post
18356,27820,39406,post
18330,27832,39388,post
20274,28805,39032,post
18570,27821,39346,post
20297,28779,39018,post
20242,28649,38987,post
20218,28594,38995,post
20196,28581,38996,post
20273,28667,38972,post
20179,28555,38985,post
20172,28509,38976,post
20139,28520,38923,post
20147,28481,38929,post
20590,29216,39097,post
20759,29630,40348,post
20729,29603,40340,post
20635,29515,40283,post
20602,29535,40272,post
19555,28386,39066,post
19505,28409,39056,post
20584,29494,40265,post
20594,29480,40259,post
19943,28915,39936,post
20713,29408,40237,post
20550,29442,40240,post
20562,29411,40216,post
20469,29381,40198,post
20900,29755,40434,post
20023,29354,39837,post
19992,29337,39824,post
19946,29309,39833,post
20016,29481,39524,post
19993,29462,39536,post
19852,29276,39694,post
20564,29208,39075,post
19891,29297,39752,post
20180,28832,39058,post
20216,28842,39053,post
13262,26563,42736,post
11773,29274,39517,post
11991,28969,39973,post
11779,29079,37096,post
11777,29039,37108,post
11735,29088,37080,post
11769,29029,37095,post
12332,28536,35941,post
12647,28782,34659,post
14672,28248,34062,post
14706,28269,34066,post
24151,30596,41348,post
13161,29628,41333,post
13156,29632,41326,post
12151,28721,40336,post
12077,28723,40353,post
12060,28708,40330,post
12228,28497,40411,post
12219,28474,40422,post
12165,28575,40321,post
12159,28575,40319,post
12205,28525,40365,post
12101,28572,40305,post
12213,28433,40301,post
12512,29057,40833,post
12228,28365,40307,post
12077,28691,39867,post
11971,28722,40048,post
12365,28357,36355,post
12480,28273,35145,post
12108,28733,36722,post
12146,28689,36635,post
12681,27883,35996,post
12164,28681,36607,post
12571,28370,34703,post
12165,28679,36608,post
12346,28540,35720,post
12662,27897,35832,post
12498,28296,35035,post
18584,27764,39283,post
12031,28792,40101,post
18630,27736,39178,post
13543,28398,33387,post
13408,26451,43077,post
13342,26426,42973,post
22772,30288,40594,post
24286,30736,41186,post
11958,26506,30640,post
13120,28665,41489,post
12791,27768,41134,post
12786,27775,41126,post
12627,28973,40689,post
11922,29040,39921,post
11295,28036,38044,post
12633,29174,33387,post
11832,25991,39733,post
12811,28924,29924,post
23153,30337,42143,post
21124,30017,40526,post
21087,29994,40504,post
20507,29240,40159,post
20462,29239,40150,post
20417,28631,38844,post
20423,28590,38816,post
20438,29532,40161,post
20455,29555,40148,post
20419,29496,40175,post
19778,29228,39447,post
19739,29004,39598,post
19840,29077,39710,post
19529,28817,39246,post
19512,28802,39243,post
19554,28835,39231,post
19510,28794,39218,post
20067,29391,40026,post
20083,29399,40021,post
20079,29409,40010,post
18814,28123,39714,post
19773,28261,39485,post
18563,27672,39409,post
18538,27685,39401,post
20538,29537,40273,post
19845,28610,38898,post
19864,28627,38880,post
11921,26004,39842,post
11267,28622,37750,post
20089,29170,40322,post
20097,29209,40255,post
13431,26478,43110,post
13293,26198,43377,post
12778,28949,31173,post
12787,28961,31086,post
12695,28923,31181,post
12778,29051,31237,post
12901,28737,30468,post
12798,28764,30388,post
13003,28567,30213,post
12987,28557,30248,post
12539,28888,29954,post
12642,28733,29929,post
12250,28391,30367,post
12288,28423,30350,post
12921,28819,30200,post
12917,28817,30201,post
12903,28794,30192,post
12471,28862,30028,post
12601,28813,30064,post
12572,28829,30052,post
12587,28777,30072,post
13059,28005,29612,post
13015,28132,29573,post
13062,27921,29566,post
12817,28753,30469,post
13007,28161,29573,post
13049,28268,29537,post
13096,28385,29442,post
13101,27815,29613,post
13117,28799,28617,post
13123,28753,28593,post
13076,28499,28737,post
13106,28542,28708,post
12429,29087,29837,post
13029,28856,28776,post
13095,28164,28783,post
14326,28383,27902,post
13115,28374,28747,post
13110,28151,28763,post
14326,28554,27977,post
14291,28567,27982,post
14328,28556,27979,post
22277,30515,40936,post
23122,30404,42081,post
22635,30275,40607,post
23655,30579,41658,post
23237,30543,41859,post
23612,30544,41799,post
23208,30563,41853,post
23182,30573,41851,post
23372,30464,41790,post
23307,30507,41841,post
23280,30509,41843,post
20559,29608,40036,post
22780,30248,40443,post
22809,30267,40445,post
21104,30083,40376,post
21102,30052,40405,post
20590,28527,38508,post
12545,28169,35127,post
12542,28149,35237,post
12660,28526,34617,post
12814,28654,34014,post
12798,28669,34039,post
14493,28011,34043,post
14478,27996,34025,post
14352,28012,33858,post
14393,27999,33901,post
14367,28009,33872,post
12677,28545,34556,post
12677,28570,34522,post
12677,28550,34552,post
12559,28078,35342,post
12690,28503,34479,post
12802,28584,34313,post
12801,28576,34312,post
12583,28270,34903,post
12778,28828,32939,post
12750,28791,32831,post
12769,28810,32802,post
12732,28633,34185,post
12731,28607,34178,post
14059,28114,33565,post
14108,28059,33581,post
14117,28027,33581,post
12816,28632,33593,post
12690,28919,33470,post
12694,28900,33469,post
12688,28814,33441,post
12852,28732,33372,post
12842,28701,33366,post
12746,28840,33332,post
12912,28782,33327,post
12913,28787,33292,post
14635,28073,34080,post
14626,28071,34082,post
12859,28597,33352,post
12745,28885,33245,post
12760,28866,33221,post
12966,28684,33227,post
12926,28678,33240,post
14003,28095,33525,post
14023,28062,33538,post
12701,28832,32240,post
12969,28660,33227,post
12957,28665,33227,post
12878,28631,33089,post
12729,28766,32382,post
12723,28774,32347,post
12659,28753,31214,post
12724,28727,31206,post
12721,28811,31475,post
12641,28799,31344,post
12706,28688,30382,post
12836,28707,30249,post
12808,28727,30248,post
12782,28753,30232,post
12719,28777,31624,post
12828,28637,30370,post
12802,28621,30391,post
12690,28850,31612,post
12670,28875,31552,post
12676,28871,31522,post
12870,28609,30232,post
13217,28442,29896,post
13031,28489,29915,post
13099,28448,29883,post
13262,28432,29829,post
13239,28440,29820,post
12524,28948,29967,post
12470,29392,29275,post
