x,y,z,type
31278,35676,27324,post
31413,35708,27263,post
31425,35707,27230,post
31458,35707,27395,post
31428,35299,27216,post
31431,35303,27205,post
31571,35509,27326,post
31566,35482,27326,post
31380,35375,27279,post
31436,35352,27111,post
32098,33252,29766,post
32445,35081,28686,post
33958,31463,30226,post
34030,31232,30283,post
34141,31029,30413,post
31755,33237,29399,post
33496,31919,29911,post
32450,35061,28683,post
33623,31737,29956,post
31545,33299,29198,post
33744,31669,30068,post
31000,32967,28425,post
31001,33040,28353,post
31000,33041,28340,post
33000,32153,29663,post
31506,33285,29157,post
31446,33312,29098,post
30321,34053,26088,post
32419,35123,28647,post
30341,34062,25897,post
32388,35125,28600,post
30551,33525,26690,post
30424,33908,25179,post
30371,34141,25156,post
30383,34159,25107,post
30025,33884,26372,post
30020,33842,26375,post
30447,33765,26562,post
30184,33724,26553,post
30176,33743,26505,post
30524,33542,26690,post
30288,34047,25820,post
30407,33980,25793,post
28058,29697,38665,post
32887,33768,32521,post
32597,33581,33392,post
32499,33285,33380,post
32881,33784,32492,post
32835,33751,32367,post
32343,34487,28803,post
32386,34497,28750,post
32395,34512,28749,post
32294,34993,28544,post
32377,34694,28779,post
32410,34607,28760,post
32382,34627,28677,post
32323,34641,28547,post
32284,34625,28944,post
32055,35094,28252,post
31376,35697,27215,post
32299,34934,28638,post
32243,35007,28551,post
31757,35553,27872,post
31747,35577,27855,post
31352,35212,27151,post
31393,35352,27249,post
28257,29626,39105,post
27463,30097,38145,post
30891,32999,28386,post
30883,32996,28325,post
30887,32960,28355,post
30604,33362,27625,post
30587,33358,27601,post
30504,33505,27446,post
30501,33511,27406,post
30473,33534,27418,post
30640,33377,27669,post
30443,33865,26628,post
30559,33671,26838,post
33720,33330,35613,post
33698,33320,35585,post
33929,33301,36036,post
33909,33291,35962,post
33923,33301,35998,post
33776,33210,35812,post
33698,33157,35645,post
33566,33174,35361,post
33693,33306,35579,post
33906,33075,36120,post
33906,33077,36122,post
33168,33661,34092,post
33166,33658,34073,post
32957,33525,33634,post
33560,33166,35325,post
33122,33628,33949,post
31286,36735,27488,post
33963,31216,30252,post
29695,34070,25920,post
32848,33356,32330,post
32445,33583,30059,post
32671,34561,29409,post
32628,34440,29492,post
32850,32189,29731,post
32272,32551,29523,post
32272,32519,29532,post
32693,32259,29643,post
32679,32263,29640,post
32700,32222,29656,post
32211,32600,29283,post
33901,32600,40819,post
34020,32664,40774,post
33901,32760,40712,post
33878,32287,40907,post
33865,32269,40886,post
34275,33626,39886,post
33804,32101,41031,post
34316,33674,39441,post
34301,33682,39449,post
34350,33607,39145,post
34137,33313,40190,post
34133,33404,40131,post
34162,33412,40107,post
34140,33395,40108,post
34204,33391,40034,post
34312,33555,40031,post
34271,33582,40011,post
27734,30096,38121,post
27750,30150,38141,post
35331,34055,36925,post
27419,30327,38283,post
27432,30313,38287,post
27521,30353,38201,post
27571,30371,38139,post
27466,30330,38220,post
27740,30250,38231,post
27548,30366,38175,post
27579,30378,38183,post
27525,30316,38191,post
27749,30213,38197,post
26809,30345,38471,post
26798,30338,38453,post
26830,30316,38470,post
27748,30161,38146,post
27726,30124,38166,post
26690,29909,38476,post
26670,29918,38480,post
26517,29867,38459,post
34538,33539,36780,post
34404,33563,36660,post
34432,33655,36644,post
35260,34193,36429,post
35263,34182,36440,post
35251,34129,36451,post
35265,34186,36393,post
33256,32656,35803,post
33256,32660,35805,post
33182,32726,35654,post
33189,32672,35666,post
32378,33613,33586,post
32384,33642,33553,post
32415,33387,33663,post
